PRINT LIST,WEBSITE,Venues/Locations,Brewery,Beer Name,Style,ABV,Description,Untappd url,Limited Release?,Other Info,
Y,,Devil's Kettle,Devil's Kettle,McGinn's (Nitro),Dry Irish Stout,5.2%,,,,,
Y,,Devil's Kettle,Devil's Kettle,Sam Owes Us,Coconut Chocolate Irish Stout,5.6%,,,,,
Y,,Devil's Kettle,Devil's Kettle,Ragtag,Peanut Butter Cup Stout,6.0%,,,,,
Y,,Devil's Kettle,Devil's Kettle,Peach Mango Sour,Fruited Sour Ale,5.0%,,,,,
Y,,Devil's Kettle,Devil's Kettle,Athens Standard,Super Lager,5.2%,,,,,
Y,,Devil's Kettle,Devil's Kettle,Pale Satan,Pale Ale,5.2%,,,,,
Y,,Devil's Kettle,Devil's Kettle,Sun Fest,West Coast Pilsner,5.5%,,,,,
Y,,Devil's Kettle,Devil's Kettle,Fuller Nelson,IPA,6.0%,,,,,
Y,,Devil's Kettle,Devil's Kettle,Dream Fluff,Hazy IPA,6.8%,,,,,
Y,,Devil's Kettle,Devil's Kettle,DK Eleven,Double IPA,9.0%,,,,,
Y,,Devil's Kettle,Devil's Kettle,Joneswood Slide,"Bourbon Barrel Stout with cacao, coffee, and vanilla beans",10.0%,,,,,
Y,,Devil's Kettle,Devil's Kettle,Rye in 2,Ryewine aged in Rye Whiskey Barrels,12.5%,,,,,
Y,,Devil's Kettle,Devil's Kettle,Vintage Barleywine,Barrel Aged Barelywine,13.0%,,,,,
Y,,Dutch Creek Winery,Dutch Creek Winery,Royal Affair,Mead - Metheglin,13.50%,Earl Grey Tea Honey Wine,https://untappd.com/b/dutch-creek-winery-royal-affair/1692961,,,
Y,,Dutch Creek Winery,Dutch Creek Winery,Peach Blush,Mead - Pyment,11.50%,Peach Catawba Grape Honey Wine,https://untappd.com/b/dutch-creek-winery-peach-blush/3908646,,,
Y,,Dutch Creek Winery,Dutch Creek Winery,Peg Leg Cherry,Mead -  Melomel,11.50%,Sweet Cherry Lime Honey Wine,https://untappd.com/b/dutch-creek-winery-cherry-lime/2071729,,,
Y,,Dutch Creek Winery,Dutch Creek Winery,Dry Hard Cider,Cider - Dry,5.25%,New England Hard Cider,https://untappd.com/b/dutch-creek-winery-dry-hard-cider/4228019,,,
Y,,Dutch Creek Winery,Dutch Creek Winery,Sweet Tea Hard Cider,Cider - Sweet,5.25%,Sweet Tea Hard Cider,https://untappd.com/b/dutch-creek-winery-sweet-tea-hard-cider/5136123,,,
Y,,Dutch Creek Winery,Dutch Creek Winery,Chai Tea Cider,Cider - Spiced,5.25%,Chai Tea Cider,https://untappd.com/b/dutch-creek-winery-chair-tea-hard-cider/5407477,,,
Y,,Dutch Creek Winery,Dutch Creek Winery,Hopped Cider,Cider - Hopped,5.25%,Cider with Cascade Hops,https://untappd.com/DutchCreekWinery/beer,,,
Y,,Dutch Creek Winery,Rice Family Brewing,Honey Lager,Lager - Amercian ,5.00%,A light lager brewed with barley roasted to a honey finish,https://untappd.com/Rice_Family_Brewing/beer,,,
Y,,Dutch Creek Winery,Rice Family Brewing,Pilsner,Pilsner,5.50%,A big balanced Pilsner,https://untappd.com/Rice_Family_Brewing/beer,,,
Y,,Dutch Creek Winery,Rice Family Brewing,Nuke It From Orbit Strong Ale,American Strong Ale,7.00%,A big balanced Pilsner,https://untappd.com/b/rice-family-brewing-nuke-it-from-orbit/6601930,,,
Y,,Dutch Creek Winery,Rice Family Brewing,Midnight Honey Porter,Porter,5.00%,Honey Porter Brewed Using Dutch Creek Winery Honey,https://untappd.com/b/rice-family-brewing-midnight-honey-porter/5216482/,,,
Y,,Dutch Creek Winery,Rice Family Brewing,Spring Cherry Belgian,Spring Belgian,6.20%,A smooth drinking Spring Belgian with a hint of cherries,https://untappd.com/b/rice-family-brewing-cherry-spring/6735714,,,
Y,,Dutch Creek Winery,Rice Family Brewing,SquatchCoe,Hazy IPA,6.00%,Big Bold and Hazy IPA brewed with Simcoe in honor of Sasquatch,https://untappd.com/b/rice-family-brewing-squatchcoe/5444300,,,
Y,,Dutch Creek Winery,Rice Family Brewing,Ol' 250 Blonde Ale ,Belgian Blonde Ale,6.60%,Blonde ale that is true to form,https://untappd.com/Rice_Family_Brewing/beer,,,
Y,,Dutch Creek Winery,Rice Family Brewing,RFB Straw Blonde,Strawberry Blonde Ale,4.50%,Strawberry Blonde Ale,https://untappd.com/Rice_Family_Brewing/beer,,,
Y,,Dutch Creek Winery,Rice Family Brewing,Baker Ten Weiss,Wheat Beer - Hefeweizen,5.20%,A German Inspired Wheat Ale,https://untappd.com/b/rice-family-brewing-baker-ten-weiss/5464008,,,
Y,,Dutch Creek Winery,Rice Family Brewing,Thanksgiving Leftovers,Wheat Beer - American Pale Wheat,5.00%,A Wheat Ale with the tartness of cranberries,https://untappd.com/b/rice-family-brewing-baker-ten-weiss/5464008,,,
Y,,Dutch Creek Winery,Rice Family Brewing,Green Bridge Ale,Pale Ale - American,6.40%,A pale American Ale,https://untappd.com/b/rice-family-brewing-green-bridge-ale/5460763,,,
Y,,Dutch Creek Winery,Rice Family Brewing,City Tricks Amber,Belgian Dubbel,7.70%,Belgian Dubbel,https://untappd.com/Rice_Family_Brewing/beer,,,
Y,,Dutch Creek Winery / Eclipse Company Store,Dutch Creek Winery,American Mead,Mead,13.50%,Honey Wine - Dryer and Well-Balanced,https://untappd.com/b/dutch-creek-winery-american-mead/1926220,,,
Y,,Dutch Creek Winery / Eclipse Company Store,Dutch Creek Winery,Commonwealth's Revenge,Mead,13.50%,Bourbon Barrell Aged Honey Wine,https://untappd.com/b/dutch-creek-winery-commonwealth-revenge/1957310,,,
Y,,Dutch Creek Winery / Eclipse Company Store,Dutch Creek Winery,Booty Blue,Mead - Melomel,11.50%,Sweet Blueberry Lemon Honey Wine,https://untappd.com/b/dutch-creek-winery-blueberry-lemon/2021218,,,
Y,,Dutch Creek Winery / Eclipse Company Store,Dutch Creek Winery,Black Diamond Sangria,Mead - Pyment,11.50%,Blackberry Diamond Grape Honey Wine,https://untappd.com/b/dutch-creek-winery-black-diamond-sangria/2763302,,,
Y,,Dutch Creek Winery / Eclipse Company Store,Dutch Creek Winery,Strawberry Dreams,Mead - Pyment,11.50%,Strawberry Cayuga Grape Honey Wine,https://untappd.com/b/dutch-creek-winery-autumn-harvest/1870120,,,
Y,,Dutch Creek Winery / Eclipse Company Store,Dutch Creek Winery,Apple Harvest Spice,Cider - Spiced,5.25%,Apple Pie in a Glass,https://untappd.com/DutchCreekWinery/beer,,,
Y,,Dutch Creek Winery / Eclipse Company Store,Dutch Creek Winery,Mint Julep Cider,Cider - Spiced,5.25%,Mint Spiced Cider aged with Bourbon Barrell wood,https://untappd.com/b/dutch-creek-winery-mint-julep/5529096,,,
Y,,Eclipse Company Store,Fat Head's,Sunshine Daydream,Session IPA,4.9%,"This beer has big hop aromas and flavors of citrus, tangerine, and tropical fruit.",https://untappd.com/b/fat-head-s-brewery-sunshine-daydream/181608,,,
Y,,Eclipse Company Store,Fat Head's,Hazy Head Hunter,New England/Hazy IPA,6.5%,"A juicy, unfiltered twist on Fat Head's Brewery's iconic West Coast-style Head Hunter ",https://untappd.com/b/fat-head-s-brewery-hazy-head-hunter-ipa/6526974,,,
Y,,Eclipse Company Store,Fat Head's,Goggle Fogger Hefe Weizen,Hefeweizen,5.2%,"Unfiltered wheat beer with flavors and aromas of wheat. bubblegum, clove, and spice",https://untappd.com/b/fat-head-s-brewery-goggle-fogger-hefe-weizen/8091,,,
Y,,Eclipse Company Store,Fat Head's,Lime Feelin' Good,Mexican Lager,4.9%,Lightly hopped Mexican-style lager with a zesty citrus finish. Fermented with Mexican-style lager yeast for authenticity.,https://untappd.com/b/fat-head-s-brewery-lime-feelin-good/3323159,,,
Y,,Eclipse Company Store,Fat Head's,Infra-Red Red Ale,American Amber/Red Ale,5.0%,Toasted and sweet caramel malts are balanced with citrus hops in a crisp and clean Red Ale.,https://untappd.com/b/fat-head-s-brewery-infra-red-red-ale/6715357,,,
Y,,Eclipse Company Store,Fat Head's,Bumble Berry Lemonade Shandy,Fruit Beer,3.0%,"A refreshing, vibrant, and sweet-tart version of Fat Head's Bumbleberry Honey Blueberry Ale",https://untappd.com/b/fat-head-s-brewery-bumble-berry-lemonade/6685297,,,
Y,,Eclipse Company Store,Little Fish,Abseil Pils,German Pilsner,5.5%,"A German-style pilsner, brewed with European noble hops, Weyermann Barke Pilsner malt, and fermented cold.",https://untappd.com/b/little-fish-brewing-company-abseil-pils/5563473,,,
Y,,Eclipse Company Store,Little Fish,Karmanfest,Vienna Lager,5.7%,German-style amber lager made with the finest German malt and hops to create this smooth-sippin lager.,https://untappd.com/b/little-fish-brewing-company-karmanfest/1259165,,,
Y,,Eclipse Company Store,Little Fish,Lil' Harvey's Milk Stout,Milk Stout,5.5%,"A rich and smooth milk stout made with lactose sugar, derived from milk to increase its velvety body. ",https://untappd.com/b/little-fish-brewing-company-lil-harvey-s-milk-stout/1154710,,,
Y,,Eclipse Company Store,Little Fish,Sylph,Cold IPA,6.5%,"Brewed with flaked rice and pilsner malt, and fermented with a lager yeast at cold temps.",https://untappd.com/b/little-fish-brewing-company-sylph/6446953,,,
Y,,Eclipse Company Store,Little Fish,Soft Distortion,New England/Hazy IPA,6.7%,"Hazy IPA brewed with individually selected, rotating hops. Batches will probably never be made the same way twice.",https://untappd.com/b/little-fish-brewing-company-soft-distortion/6708546,,,
Y,,Eclipse Company Store,The Brew Kettle,White Rajah,American IPA,6.8%,West Coast style IPA full of citrus-like and tropical fruit-like hop flavor and aroma with a smooth bitter finish. ,https://untappd.com/b/the-brew-kettle-white-rajah/23046,,,
Y,,Eclipse Company Store,The Brew Kettle,Mango Rajah,American IPA,6.0%,West Coast style IPA with a tropical twist. Ripe mangoes blended with piney hops and tangy citrus notes.,https://untappd.com/b/the-brew-kettle-mango-rajah/5767052,,,
Y,,Eclipse Company Store,The Brew Kettle,Major Lager,American Light Lager,4.5%,A traditional light American Lager with a crisp taste and a slight bite of American hops. ,https://untappd.com/b/the-brew-kettle-major-lager/3155700,,,
Y,,Eclipse Company Store,The Brew Kettle,Light Rajah,Session IPA,4.3%,"Light and refreshing taste on a classic West Coast-style IPA bursting with citrus flavor and a crisp, clean finish. ",https://untappd.com/b/the-brew-kettle-light-rajah/5788138,,,
Y,,Eclipse Company Store,The Brew Kettle,Headlands Ohio Pilsner,Pilsner,4.7%,Crisp and clean with a floral hop nose and finish and brewed using west branch malting pilsner out of Brunswick.,https://untappd.com/b/the-brew-kettle-headlands-ohio-pilsner/4939720,,,
Y,,Eclipse Company Store,Northern Row,Heckler,New England/Hazy IPA,7.0%,Citrus forward Hazy IPA with hints of juicy tangerine and grapefruit.,https://untappd.com/b/northern-row-brewery-heckler/3587529,,,
Y,,Eclipse Company Store,Northern Row,Redlegger Amber Ale,Traditional Altbier,5.2%,Traditional Altbier with a balanced malt sweetness and clean finish created in honor of the first pro baseball team that emerged out of Cincinnati. ,https://untappd.com/b/northern-row-brewery-redlegger-amber-ale/6645258,,,
Y,,Eclipse Company Store,Northern Row,Hustler,Helles Lager,4.5%,Light German lager with all traditional malt and noble hops.,https://untappd.com/b/northern-row-brewery-hustler/3825852,,,
Y,,Eclipse Company Store,Northern Row,Designer,Hefeweizen,5.2%,German-style hefeweizen featuring expressions of banana and clove. Brewed with wheat and a weissbier yeast strain. ,https://untappd.com/b/northern-row-brewery-designer/3701384,,,
Y,,Eclipse Company Store,Devil's Kettle,Ragtag,Stout,6.0%,"Bourbon barrel aged stout infused with peanut butter, cocoa nibs, and coffee. Designed to mimick Tagalong cookies.",https://untappd.com/b/devil-s-kettle-brewing-ragtag/3123126,,,
Y,,Eclipse Company Store,Devil's Kettle,Ava's Maple Amber,American Amber/Red Ale,6.0%,"An American Amber/Red Ale with a rich, balanced malt profile with locally sourced maple for a subtle sweetness. ",https://untappd.com/b/devil-s-kettle-brewing-ava-s-maple-amber/6715482,,,
Y,,Eclipse Company Store,Devil's Kettle,Dream Fluff,New England/Hazy IPA,6.6%,"Smooth bodied hazy IPA with Azacca, Citra, and Simcoe hops and a malt backbone of wheat and oats.",https://untappd.com/b/devil-s-kettle-brewing-dream-fluff/3205738,,,
Y,,Eclipse Company Store,Devil's Kettle,Helles Awaits,Helles Lager,5.0%,A light but full flavored malty lager that's perfect for warmer weather. ,https://untappd.com/b/devil-s-kettle-brewing-helles-awaits/2028826,,,
Y,,Eclipse Company Store,Devil's Kettle,Athens Standard,Pale Lager,5.5%,Hybrid between a German pilsner and an American pale ale with a crisp lager backbone. ,https://untappd.com/b/devil-s-kettle-brewing-athens-standard/3695729,,,
Y,,Eclipse Company Store,Devil's Kettle,Spider Silk,Blonde/Golden Ale,7.0%,"Light but strong blonde ale blending elements of English, German, and American brewing ingredients and traditions. ",https://untappd.com/b/devil-s-kettle-brewing-spider-silk/1111997,,,
Y,,Eclipse Company Store,Third Eye Brewing,Nirvana or Bust,NEIPA,7.0%,"Medium in body and smooth in mouthfeel, this easy drinking NEIPA is ripe with juicy notes of citrus, grapefruit, and a little bit of pine. It’s double dry-hopped with Nelson Sauvin hops as well as some Citra and Columbus for heightened hop aroma and flavor. Contains Lactose.",https://untappd.com/b/third-eye-brewing-company-nirvana-or-bust/4110810,,,
Y,,Eclipse Company Store,Third Eye Brewing,Third Eye P.A ,IPA,6.3%,"A beer lover’s delight, this beer has plenty of hops to go around. The grain bill was designed to balance the dank, piney, and grapefruit hop flavors. Old and new school hops Simcoe, Centennial, Cascade, and Columbus combine to give a prominent bouquet of aroma and flavor.",https://untappd.com/b/third-eye-brewing-company-third-eye-p-a/3827506,,,
Y,,Eclipse Company Store,Third Eye Brewing,Untapped Potential,Kolsch,5.0%,"The Kölsch style originated in Cologne, Germany. German malts, hops, and yeast keep this beer true to its heritage making it crisp, delicate, and extremely drinkable. This beer has won awards in the 2020, 2021, 2022 and 2023 Ohio Craft Brewer’s Cup and took “Best in Show” for the competition in 2020.",https://untappd.com/b/third-eye-brewing-company-untapped-potential/3827501,,,
Y,,Eclipse Company Store,Third Eye Brewing,Enlightenment,Wheat,5.00%,"American wheats make for refreshing, light, thirst quenching beer. 400 lbs of raspberries coupled with a wheaty malt bill make for smooth, sweet sips. Overall, it’s tart and mildly sweet, like biting into fresh fruit.",https://untappd.com/b/third-eye-brewing-company-enlightenment/3827493,,,
Y,,Eclipse Company Store,Land Grant,Galaxy Brain,Imperial/Double IPA,8.7%,"Blend of Australia's finest Galaxy hops deliver world-expanding citrus, peach, and passionfruit aromatics. ",https://untappd.com/b/land-grant-brewing-company-galaxy-brain/4006154,,,
Y,,Eclipse Company Store,Land Grant,Jeni's Spendid Strawberry Rhubarb Ale,Fruit Beer,5.3%,"Wheat ale featuring Columbus hops and concentrates of strawberry, aronia, and rhubarb for a berry-forward flavor. Made in collaboration with Ohio based Jeni's Splendid Ice Cream. ",https://untappd.com/b/land-grant-brewing-company-jeni-s-splendid-strawberry-rhubarb-ale/5372534,,,
Y,,Eclipse Company Store,Land Grant,LG Light,American Light Lager,4.2%,A crisp and clean light American Lager that's brewed for maximum refreshment with a smooth finish,https://untappd.com/b/land-grant-brewing-company-lg-light/6269944,,,
Y,,Eclipse Company Store,Land Grant,Death By A Thousand Hops,Cold IPA,7.2%,"Cold IPA brewed with 100% Weyermann Pilsner malt. Notes of tangerine, tropical fruit, and bright citrus with a crisp bitterness and bone-dry finish.",Not available.,Pub Exclusive,,
Y,,Eclipse Company Store,Rhinegeist,Cincy Light Lime,American Light Lager,4.2%,Rhinegeist's take on a classic American Light Lager with a lime twist. In partnership with Cincy Reigns benefitting student athletes. ,https://untappd.com/b/rhinegeist-brewery-cincy-light-lime/6060621,,,
Y,,Eclipse Company Store,Rhinegeist,Juicy Truth,New England/Hazy IPA,6.5%,"Hazy IPA brimming with notes of juicy pineapple, fresh mango, and bright citrus.",https://untappd.com/b/rhinegeist-brewery-juicy-truth/1082937,,,
Y,,Eclipse Company Store,Rhinegeist,Bubbles,Fruit Beer,6.2%,"A bright, dry, bubbly blend of apple and grapefruit. A clean and crisp citrus twist on a Rhinegeist fan favorite. ",https://untappd.com/b/rhinegeist-brewery-grapefruit-bubbles/6667809,,,
Y,,Eclipse Company Store,Rhinegeist,Cheetah,Pale Lager,4.8%,"An agile, easy-drinking Lager that is bright and light with a tinge of malt and citrus character. ",https://untappd.com/b/rhinegeist-brewery-cheetah/2651136,,,
Y,,Eclipse Company Store,Rhinegeist,Marg Monday,Sour,7.4%,"A tart sour ale brimming with notes of fruity tequila, mellow oak, bright citrus, and palate-cleansing salinity. ",https://untappd.com/b/rhinegeist-brewery-marg-monday/3027482,Pub Exclusive,,
Y,,Eclipse Company Store,Brew Dog Brewing,Cold Beer Blueberry,American Light Lager,4.5%,Light American Lager that is lightly hopped and malted with a crisp clean finish that's topped off with a hint of blueberry.,https://untappd.com/b/brewdog-usa-cold-beer-blueberry/6719212,,,
Y,,Eclipse Company Store,Brew Dog Brewing,95,Fruited IPA,4.0%,"Hazy IPA with only 95 calories! A light beer with flavors of apricot, peach, citrus and light floral notes. ",https://untappd.com/b/brewdog-usa-95/5535236,,,
Y,,Eclipse Company Store,Brew Dog Brewing,Imperial IPA,Imperial/Double IPA,8.5%,Imperial IPA built for balance and intensity featuring bright citrus and a layered piney and floral hop character. ,https://untappd.com/b/brewdog-usa-imperial-ipa/6563116,,,
Y,,Eclipse Company Store,Brew Dog Brewing,Elvis Juice,Fruited IPA,6.5%,"An American IPA with pine, orange, and grapefruit paired with a caramel malt base and intense U.S. aroma hops. ",https://untappd.com/b/brewdog-elvis-juice/1441008#google_vignette,,,
